ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VCA1050_hypothetical_protein	1000877	1001800	+	15859	209	4.13656	37.6463	13890	138	3.04307	32.3832	10277	135	2.10119	12.4567	45284	448	7.52163	39.3912	41877	551	8.53868	59.0584	38861	511	8.48022	41.3487	54	2	1.84833	47.1593	1112	34	8.37831	268.222	1157	36	8.68468	128.264	2312	72	9.96228	148.823
VCA1051_hypothetical_protein	1001797	1002228	-	15467	204	8.6396	78.628	14563	144	6.83259	72.7099	21301	280	9.32661	55.2918	67353	667	23.9579	125.469	20972	276	9.15755	63.3389	38703	509	18.0868	88.1896	27	1	1.97913	50.4966	624	19	10.0684	322.328	309	10	4.96711	73.3594	547	17	5.04757	75.4041
VCA1052_hypothetical_protein	1002304	1003026	-	6523	86	2.17508	19.7952	7480	74	2.09496	22.2938	10383	137	2.71386	16.0888	11768	117	2.49881	13.0864	10215	134	2.66267	18.4166	13734	181	3.83137	18.6814	28	1	1.2252	31.2605	288	9	2.77401	88.8069	190	6	1.82322	26.9272	389	12	2.14282	32.0109
VCA1053_hypothetical_protein	1003208	1003708	-	9803	129	4.72013	42.9574	7122	71	2.88034	30.6515	19309	254	7.28771	43.2044	28503	282	8.73955	45.7696	36441	479	13.7163	94.8699	46070	606	18.5585	90.4895	78	2	4.92847	125.748	630	20	8.76241	280.519	559	17	7.74576	114.398	903	28	7.18274	107.301
VCA1054_hypothetical_protein	1003730	1004368	-	13983	184	5.27648	48.0207	15503	153	4.91368	52.2896	4383	58	1.29644	7.68579	12003	119	2.88428	15.1052	7924	104	2.33744	16.1671	11326	149	3.57561	17.4343	103	3	5.1004	130.134	341	11	3.71695	118.994	2230	69	24.2162	357.651	2917	90	18.184	271.644
VCA1055_LysR_family_transcriptional_regulator	1004468	1005391	+	8035	106	2.0958	19.0736	9920	98	2.17331	23.1276	28050	369	5.73499	33.9992	42723	423	7.09625	37.1635	48130	633	9.81366	67.877	44270	583	9.66057	47.104	31	1	1.06108	27.0729	485	15	3.65421	116.985	568	18	4.26353	62.9682	929	29	4.00301	59.7997
VCA1056_methyl-accepting_chemotaxis_protein	1005434	1007746	-	10784	142	1.12294	10.2198	8584	85	0.750782	7.98954	9028	119	0.736894	4.36859	16012	159	1.06176	5.5605	10637	140	0.865861	5.9888	10511	138	0.915695	4.46484	64	2	0.874541	22.3135	1015	31	3.05303	97.7393	481	15	1.44138	21.2879	807	25	1.38822	20.7382
VCA1057_short_chain_dehydrogenase/reductase_family_oxidoreductase	1008136	1008855	-	4200	55	1.40632	12.7988	3368	33	0.947229	10.0801	9391	124	2.46481	14.6124	9672	96	2.06232	10.8005	3138	41	0.821374	5.6811	6960	92	1.94973	9.50671	0.5	0	0.0219699	0.560553	173	5	1.67329	53.5684	0.5	0	0.00481796	0.0711567	77	2	0.425926	6.36278
VCA1058_LysR_family_transcriptional_regulator	1009003	1009908	+	4846	64	1.28914	11.7323	4762	47	1.06403	11.323	7366	97	1.53598	9.10586	20231	200	3.42718	17.9484	8002	105	1.66405	11.5095	11433	150	2.54452	12.4068	0.5	0	0.0174546	0.445345	825	26	6.33955	202.954	34	1	0.260287	3.84419	237	7	1.04153	15.5591
VCA1059_hypothetical_protein	1010002	1010619	+	24147	318	9.422	85.7485	15865	157	5.19956	55.3318	35144	462	10.749	63.7241	31917	316	7.93059	41.533	21601	284	6.58879	45.5719	33163	436	10.8259	52.786	0.5	0	0.0256019	0.653221	504	16	5.68066	181.86	242	7	2.71739	40.1333	218	7	1.40522	20.9921
VCA1060_3,4-dihydroxy-2-butanone_4-phosphate_synthase	1010684	1011340	-	37016	487	13.5847	123.633	34794	344	10.7254	114.135	120020	1579	34.5264	204.686	45581	451	10.6524	55.7874	27525	362	7.8966	54.6175	33592	442	10.314	50.29	96	3	4.62333	117.962	439	14	4.65387	148.988	637	20	6.72757	99.3597	1261	39	7.64511	114.208
VCA1061_hypothetical_protein	1011647	1011781	+	553	7	0.99354	9.04209	738	7	1.11369	11.8514	124	2	0.17463	1.03527	0.5	0	0.00057205	0.00299586	0.5	0	0.000702234	0.00485706	541	7	0.813181	3.96499	0.5	0	0.117884	3.00774	24	1	1.24555	39.8747	0.5	0	0.0258516	0.381804	0.5	0	0.0148401	0.221692
VCA1062_putrescine_transporter	1011799	1013118	-	13714	180	2.50313	22.7807	36293	359	5.56403	59.2104	4740	62	0.678164	4.02042	10194	101	1.18486	6.2052	2079	27	0.296638	2.05172	2880	38	0.439787	2.14436	54	2	1.29341	33.0008	1464	45	7.71879	247.108	253	8	1.32892	19.6268	466	14	1.40512	20.9907
VCA1063_ornithine_decarboxylase	1013186	1015348	-	40467	532	4.5062	41.0104	142755	1413	13.352	142.087	12607	166	1.10042	6.5237	39773	394	2.82034	14.7703	3465	46	0.301623	2.0862	5143	68	0.479132	2.3362	49	2	0.716025	18.269	2802	87	9.01292	288.538	341	11	1.09275	16.1389	335	10	0.616257	9.20606
VCA1064_hypothetical_protein	1015489	1015611	+	196	3	0.386777	3.52002	257	3	0.425976	4.53308	0.5	0	0.000773413	0.00458509	40	0	0.0502654	0.263243	0.5	0	0.000771307	0.0053348	0.5	0	0.000825477	0.00402495	0.5	0	0.129479	3.30358	36	1	2.05209	65.6952	0.5	0	0.0283944	0.419358	27	1	0.88019	13.1489
VCA1065_hypothetical_protein	1015688	1015810	-	87555	1152	172.777	1572.42	172865	1712	286.523	3049.07	15317	202	23.6927	140.46	45595	451	57.2962	300.064	11551	152	17.8187	123.245	12123	160	20.0145	97.5888	34	1	8.80455	224.644	196	6	11.1725	357.674	643	20	36.5152	539.294	619	19	20.1792	301.45
VCA1066_hypothetical_protein	1016102	1016341	-	876	12	0.882411	8.03073	224	2	0.189523	2.01683	813	11	0.641939	3.80566	1461	14	0.937175	4.90805	378	5	0.297653	2.05874	995	13	0.838533	4.0886	0.5	0	0.0660937	1.68635	31	1	0.902022	28.8772	0.5	0	0.0144942	0.214066	26	1	0.432661	6.46339
VCA1067_aldehyde_dehydrogenase	1016331	1017773	-	27095	357	4.52365	41.1692	26444	262	3.70829	39.4622	42484	559	5.55983	32.9608	60297	597	6.41061	33.5727	45852	603	5.98425	41.3905	66532	875	9.29309	45.3122	28	1	0.613452	15.6519	722	22	3.48197	111.471	1061	33	5.09768	75.2878	2737	85	7.54887	112.77
VCA1068_AsnC_family_transcriptional_regulator	1017946	1018428	-	32282	425	16.1242	146.745	26918	267	11.293	120.175	28795	379	11.2738	66.8356	58913	583	18.7384	98.1342	29429	387	11.4907	79.4761	44464	585	18.5805	90.5965	0.5	0	0.0327726	0.836177	375	12	5.4105	173.211	1024	32	14.7189	217.384	1971	61	16.2634	242.954
VCA1069_methyl-accepting_chemotaxis_protein	1018626	1020545	-	295287	3885	37.0454	337.146	261516	2589	27.5572	293.253	90516	1191	8.90126	52.7701	102126	1011	8.15887	42.7285	112492	1480	11.0322	76.3053	117104	1541	12.2911	59.9303	897	28	14.7674	376.784	2927	91	10.6072	339.578	15446	478	55.7652	823.599	30204	935	62.5982	935.135
VCA1070_hypothetical_protein	1020875	1021096	-	39016	513	42.5026	386.811	13811	137	12.637	134.478	35828	471	30.5937	181.371	44188	438	30.6535	160.534	18808	247	16.0165	110.779	17707	233	16.1379	78.6869	23	1	3.28794	83.8901	216	7	6.79696	217.597	702	22	22.0073	325.027	1196	37	21.5234	321.532
VCA1071_sodium/proline_symporter	1021280	1022770	-	75913	999	12.2658	111.629	33516	332	4.5486	48.4045	175103	2304	22.1773	131.476	200262	1983	20.6054	107.912	138802	1826	17.5318	121.26	154613	2034	20.9004	101.908	979	31	20.7579	529.629	1709	53	7.97644	255.357	41495	1285	192.944	2849.6	73183	2266	195.342	2918.16
VCA1072_hypothetical_protein	1022843	1023541	-	58700	772	20.2464	184.26	9967	99	2.88749	30.7276	93736	1233	25.3427	150.241	83652	828	18.3734	96.2226	77413	1019	20.8725	144.367	88060	1159	25.4108	123.901	357	11	16.1585	412.276	728	23	7.25319	232.203	17914	555	177.811	2626.1	28982	897	165.137	2466.94
VCA1074_AraC/XylS_family_transcriptional_regulator	1027022	1027885	-	30125	396	8.4039	76.483	19455	193	4.55861	48.511	50166	660	10.9698	65.0334	61368	608	10.9018	57.0936	30130	396	6.5706	45.4461	43642	574	10.1856	49.6642	100	3	3.66081	93.4038	535	17	4.31118	138.018	1212	38	9.73003	143.703	2374	73	10.9406	163.439
VCA1075_hypothetical_protein	1028244	1029383	+	276912	3644	58.5306	532.68	167702	1660	29.7733	316.836	280719	3694	46.5103	275.731	671697	6650	90.4104	473.485	378402	4979	62.524	432.452	600208	7897	106.138	517.521	499	16	13.8409	353.144	2083	64	12.718	407.152	3651	113	22.2081	327.992	5609	174	19.5855	292.581
VCA1076_hypothetical_protein	1029350	1029475	+	22646	298	43.6161	396.945	18191	180	29.4278	313.16	17095	225	25.8084	153.002	55309	548	67.8351	355.257	36975	487	55.6692	385.04	39751	523	64.052	312.311	27	1	6.82404	174.112	47	1	2.61482	83.7103	0.5	0	0.0277129	0.409293	113	3	3.59535	53.7098
VCA1077_hypothetical_protein	1029543	1031360	+	151969	2000	20.1356	183.252	140560	1392	15.6429	166.466	143625	1890	14.9168	88.4327	273211	2705	23.0522	120.726	173867	2288	18.0086	124.558	261739	3444	29.014	141.47	538	17	9.35438	238.673	1729	54	6.61749	211.851	4255	132	16.2243	239.618	6391	198	13.989	208.977
VCA1078_LuxR_family_transcriptional_regulator	1031460	1032419	+	1.44E+06	18996	362.429	3298.43	7.28E+06	72033	1534.08	16325.1	2.47E+06	32436	485.094	2875.83	5.03E+06	49825	804.482	4213.12	7.04E+06	92652	1381.87	9557.84	7.09E+06	93224	1488.05	7255.6	181	6	5.96277	152.137	1644	51	11.9217	381.658	8848	274	63.9218	944.064	17109	530	70.9543	1059.96
VCA1079_pyridoxamine_5_-phosphate_oxidase	1032448	1033083	-	53669	706	20.3477	185.182	48292	478	15.3785	163.652	76520	1007	22.7406	134.815	239054	2367	57.7153	302.259	118062	1553	34.9908	242.016	175757	2313	55.7486	271.825	40	1	1.9901	50.7764	291	9	3.18693	102.026	1178	36	12.8527	189.822	1789	55	11.2049	167.387
VCA1080_HlyD_family_secretion_protein	1033253	1034698	+	43183	568	7.19465	65.4777	42692	423	5.97435	63.5768	91081	1198	11.8949	70.5176	163098	1615	17.3041	90.6227	82574	1087	10.7546	74.3847	110280	1451	15.3718	74.9512	0.5	0	0.0109318	0.278919	1332	41	6.41047	205.224	1575	49	7.55153	111.529	2407	75	6.62492	98.9676
VCA1081_hypothetical_protein	1034707	1035369	+	18342	241	6.67043	60.7068	9948	98	3.03871	32.3368	31866	419	9.08387	53.8527	50669	502	11.7342	61.4526	27254	359	7.74799	53.5896	40989	539	12.4711	60.8078	72	2	3.43607	87.6697	364	11	3.82381	122.415	846	26	8.8539	130.764	1451	45	8.7173	130.225
VCA1082_hypothetical_protein	1035375	1036538	+	45101	593	9.33623	84.9679	35415	351	6.15771	65.5281	92898	1222	15.074	89.3644	165092	1635	21.7628	113.973	130194	1713	21.0682	145.72	189159	2489	32.7599	159.734	157	5	4.26489	108.817	875	27	5.23217	167.502	3854	119	22.9591	339.084	7255	225	24.8102	370.632
VCA1083_hypothetical_protein	1036577	1037284	+	22838	301	7.77685	70.7762	24172	239	6.91361	73.5721	40926	539	10.924	64.7616	68333	677	14.8177	77.601	77747	1023	20.6957	143.144	102760	1352	29.2752	142.743	0.5	0	0.0223428	0.570067	482	15	4.74112	151.781	1568	49	15.3656	226.935	2985	92	16.7918	250.848
VCA1084_toxin_secretion_ATP-binding_protein	1037299	1039413	+	37686	496	4.2918	39.0592	44476	440	4.25434	45.2731	90148	1186	8.04734	47.7077	96167	952	6.97412	36.5239	118423	1558	10.5426	72.9188	119379	1571	11.3741	55.4591	518	16	7.74128	197.515	1607	50	5.28645	169.24	3454	107	11.3198	167.183	6712	208	12.6276	188.639
VCA1085_hypothetical_protein	1039548	1041218	-	149184	1963	21.5065	195.729	164322	1627	19.8972	211.738	58235	766	6.58065	39.0126	143434	1420	13.1675	68.9592	160991	2118	18.1427	125.485	186480	2454	22.4911	109.664	231	7	4.37002	111.499	949	29	3.95187	126.515	3897	121	16.1673	238.775	6523	202	15.5347	232.068
VCA1086_response_regulator	1041477	1043183	-	24965	328	3.52304	32.0628	14699	146	1.74229	18.5408	10986	145	1.21524	7.20441	31746	314	2.85285	14.9405	29777	392	3.28487	22.7201	35007	461	4.13305	20.1524	129	4	2.3889	60.9517	1187	37	4.83866	154.904	3750	116	15.2291	224.919	6744	209	15.7221	234.868
VCA1087_anti-sigma_F_factor_antagonist,_putative	1043207	1043506	-	2136	28	1.71987	15.6523	1371	14	0.92721	9.86702	764	10	0.482196	2.85864	5605	55	2.87391	15.0508	3918	52	2.4661	17.057	3558	47	2.39679	11.6865	38	1	4.01514	102.444	176	5	4.0935	131.049	930	29	21.5493	318.263	1284	40	17.0792	255.14
VCA1088_methyl-accepting_chemotaxis_protein	1043516	1044670	-	14026	185	2.92613	26.6303	6518	65	1.14214	12.1543	7195	95	1.17659	6.9753	17798	176	2.36447	12.3829	12951	170	2.1121	14.6085	18780	247	3.27782	15.9823	27	1	0.739173	18.8596	438	14	2.6395	84.5005	1486	46	8.92145	131.761	2849	88	9.81882	146.68
VCA1090_chemoreceptor_glutamine_deamidase_CheD	1045749	1046450	-	6558	86	2.25226	20.4976	5535	55	1.59666	16.991	3012	40	0.810846	4.80701	5710	57	1.24878	6.53995	2952	39	0.792529	5.48159	5628	74	1.61708	7.88471	23	1	1.03657	26.4475	261	8	2.58926	82.8922	1166	36	11.524	170.198	2042	63	11.5854	173.07
VCA1091_chemotaxis_protein_methyltransferase_CheR	1046389	1047219	-	10195	134	2.95715	26.9127	5643	56	1.37481	14.6303	2605	34	0.592285	3.5113	6516	65	1.20357	6.30317	6857	90	1.55479	10.7539	10026	132	2.43301	11.8631	102	3	3.88249	99.0598	335	10	2.80685	89.8582	1544	48	12.8882	190.346	2748	85	13.1677	196.709
VCA1092_methyl-accepting_chemotaxis_protein	1047234	1049270	-	16996	224	2.00971	18.2902	9425	93	0.936085	9.96147	4459	59	0.413296	2.45018	12611	125	0.949599	4.97311	13242	174	1.22403	8.46611	15794	208	1.56246	7.61841	184	6	2.85514	72.8476	1164	36	3.97584	127.282	4706	146	16.0139	236.51	7364	228	14.385	214.892
VCA1093_purine-binding_chemotaxis_protein_CheW	1049284	1049745	-	6024	79	3.14593	28.6307	3815	38	1.67342	17.8079	1357	18	0.555495	3.29319	4397	44	1.46226	7.65794	4239	56	1.73053	11.9694	3977	52	1.7376	8.47236	0.5	0	0.0342655	0.874267	261	8	3.93725	126.046	1047	32	15.735	232.392	1907	59	16.4521	245.773
VCA1094_purine-binding_chemotaxis_protein_CheW	1049742	1050269	-	5781	76	2.64093	24.0348	4218	42	1.61848	17.2233	1182	16	0.423261	2.50925	6100	60	1.77455	9.29342	3277	43	1.17026	8.0942	2396	32	0.915737	4.46505	0.5	0	0.0299742	0.764777	80	2	1.05568	33.7964	1009	31	13.2649	195.909	1612	50	12.1654	181.735
VCA1095_chemotaxis_protein_CheA	1050278	1052440	-	25527	336	2.84256	25.8698	10771	107	1.00742	10.7206	4054	53	0.353858	2.09781	14090	140	0.999134	5.23253	16817	221	1.46389	10.1251	25135	331	2.34163	11.4176	37	1	0.540672	13.795	1326	41	4.26522	136.546	4344	134	13.9206	205.593	7106	220	13.072	195.279
VCA1096_chemotaxis_protein_CheY	1052489	1052866	-	8238	108	5.26072	47.8772	3864	38	2.07256	22.0554	800	11	0.400451	2.37403	3122	31	1.26958	6.64887	9192	121	4.58866	31.7378	9573	126	5.11448	24.9377	274	9	22.9613	585.847	191	6	3.52326	112.793	1050	33	19.2961	284.985	1743	54	18.3877	274.689
VCA1097_hypothetical_protein	1052859	1053164	-	16745	220	13.2175	120.291	9181	91	6.08698	64.7754	1406	19	0.869935	5.15731	4784	47	2.40469	12.5935	12035	158	7.42614	51.3635	18327	241	12.1028	59.0121	23	1	2.38241	60.786	262	8	5.97385	191.246	1775	55	40.32	595.488	3138	97	40.9191	611.277
VCA1098_ABC_transporter,_periplasmic_substrate-binding_protein	1053362	1054927	+	4158	55	0.639639	5.82128	3060	30	0.395384	4.20753	6314	83	0.761362	4.51365	13468	133	1.31934	6.90947	6545	86	0.787068	5.44382	6793	89	0.874263	4.26282	0.5	0	0.0100935	0.257532	1477	46	6.56326	210.115	82	3	0.363013	5.36135	308	10	0.782724	11.6929
VCA1099_ABC_transporter,_permease_protein	1054920	1055876	+	1540	20	0.387818	3.52949	1020	10	0.215752	2.29595	1895	25	0.37407	2.21763	5066	50	0.812411	4.25465	1848	24	0.363799	2.51624	2830	37	0.596243	2.90722	0.5	0	0.0165234	0.421587	431	13	3.13525	100.372	94	3	0.681228	10.0611	140	4	0.582429	8.70072
VCA1100_ABC_transporter,_permease_protein	1055857	1056669	+	1631	21	0.483574	4.40095	242	2	0.0602658	0.641327	1283	17	0.298175	1.7677	4080	40	0.770323	4.03423	862	11	0.199787	1.38185	1527	20	0.378772	1.84686	0.5	0	0.0194537	0.496351	667	21	5.71246	182.878	121	4	1.03241	15.2477	105	3	0.514287	7.68278
VCA1101_ABC_transporter,_ATP-binding_protein	1056588	1058048	+	2132	28	0.35156	3.19951	3416	34	0.473126	5.03483	3136	41	0.405345	2.40304	9324	92	0.97908	5.1275	3342	44	0.430795	2.97963	3674	48	0.506852	2.47136	51	2	1.10358	28.1574	1188	37	5.6587	181.157	36	1	0.170833	2.52304	61	2	0.166169	2.48234
VCA1102_hypothetical_protein	1058303	1059955	+	1750	23	0.255031	2.32101	1428	14	0.174795	1.86011	1246	16	0.142334	0.843812	4088	40	0.379376	1.98681	2366	31	0.269539	1.86429	1378	18	0.16801	0.819198	27	1	0.516347	13.1743	1594	49	6.71014	214.817	30	1	0.125815	1.85817	65	2	0.156486	2.3377
VCA1103_hypothetical_protein	1059996	1060094	+	0.5	0	0.00122831	0.0111787	0.5	0	0.00103171	0.010979	164	2	0.315805	1.87221	560	6	0.876053	4.58795	0.5	0	0.000960198	0.00664128	0.5	0	0.00102763	0.00501065	0.5	0	0.161188	4.11263	20	1	1.41924	45.4355	0.5	0	0.0353481	0.522058	0.5	0	0.0202916	0.30313
VCA1105_DNA-binding_response_regulator	1061510	1062166	-	15691	206	5.75853	52.4077	14698	146	4.53071	48.2141	14783	195	4.25265	25.2114	23195	230	5.42075	28.3888	19443	256	5.57797	38.5805	21849	287	6.70845	32.7098	58	2	2.79326	71.2688	384	12	4.07081	130.322	731	23	7.72033	114.022	1257	39	7.62086	113.846
VCA1106_hypothetical_protein	1062171	1062452	-	9785	129	8.38338	76.2962	12456	123	8.96363	95.3876	8242	108	5.53513	32.8144	15741	156	8.58805	44.9761	12598	166	8.43747	58.3584	15193	200	10.8901	53.0991	64	2	7.19551	183.59	154	5	3.81125	122.013	261	8	6.43512	95.0406	346	11	4.89714	73.1568
VCA1107_hypothetical_protein	1062449	1062826	-	19030	250	12.1524	110.598	34095	338	18.2878	194.612	10578	139	5.29497	31.3906	25249	250	10.2677	53.7724	30863	406	15.4068	106.563	23220	306	12.4055	60.4882	32	1	2.68162	68.4201	170	5	3.13589	100.392	495	15	9.09675	134.35	1057	33	11.1508	166.578
VCA1108_short_chain_dehydrogenase	1062830	1063627	-	5482	72	1.65594	15.0706	4164	41	1.05649	11.2427	4632	61	1.09676	6.50202	9687	96	1.86337	9.75859	4431	58	1.04631	7.23688	7557	99	1.90979	9.31196	0.5	0	0.0198198	0.505693	263	8	2.29483	73.4664	283	9	2.46009	36.3331	676	21	3.37335	50.3934
VCA1109_hypothetical_protein	1063637	1064347	-	2280	30	0.77311	7.03599	2729	27	0.777243	8.27113	5429	71	1.44299	8.55459	8112	80	1.75161	9.17331	2590	34	0.686528	4.74843	4556	60	1.29247	6.30195	51	2	2.26934	57.9011	741	23	7.25793	232.354	172	5	1.67839	24.7882	115	4	0.644187	9.62331
VCA1110_long-chain-fatty-acid--CoA_ligase,_putative	1064363	1065886	-	1925	25	0.304296	2.76936	2078	21	0.275904	2.93606	5047	66	0.625366	3.70741	4390	43	0.441909	2.31431	1224	16	0.151251	1.04614	924	12	0.122199	0.595829	23	1	0.477107	12.1732	1038	32	4.7397	151.736	107	3	0.48675	7.18884	102	3	0.266362	3.9791
VCA1111_thermostable_hemolysin	1065897	1066499	-	1919	25	0.767438	6.98437	1430	14	0.480343	5.11163	8176	108	2.56298	15.1944	3717	37	0.946596	4.95738	2363	31	0.738727	5.10946	3139	41	1.05024	5.12088	0.5	0	0.0262399	0.669497	481	15	5.55651	177.885	19	1	0.218665	3.22947	39	1	0.257656	3.84905
VCA1112_hypothetical_protein	1066673	1068799	-	31498	414	3.56685	32.4615	26944	267	2.56278	27.2721	59914	788	5.31822	31.5285	62881	623	4.53445	23.7472	34060	448	3.01508	20.854	41095	541	3.89332	18.9835	118	4	1.7535	44.7398	1249	39	4.08557	130.795	826	26	2.69178	39.755	2114	65	3.95471	59.0781
VCA1113_spermidine/putrescine_ABC_transporter,_periplasmic_spermidine/putrescine-binding_protein	1068927	1069958	+	61138	804	14.2764	129.928	36643	363	7.18694	76.4808	38688	509	7.08139	41.9813	48971	485	7.28197	38.1361	169134	2225	30.8737	213.541	329977	4342	64.4644	314.322	382	12	11.7056	298.662	1029	32	6.94081	222.202	6035	187	40.5547	598.954	9852	305	38.0048	567.742
VCA1114_ParB_family_protein	1070018	1070989	-	53968	710	13.3808	121.777	28573	283	5.95043	63.3223	77739	1023	15.1085	89.569	142858	1414	22.5556	118.125	96293	1267	18.6635	129.087	124062	1632	25.7344	125.479	0.5	0	0.0162682	0.415074	554	17	3.96774	127.023	1308	40	9.33278	137.836	2194	68	8.98649	134.246
VCA1115_ParA_family_protein	1070997	1072220	-	102876	1354	20.2513	184.305	81336	805	13.4483	143.112	194414	2558	29.9987	177.844	507744	5027	63.6483	333.33	213993	2816	32.9299	227.762	306678	4035	50.5069	246.267	246	8	6.35472	162.138	1803	56	10.2523	328.217	2396	74	13.5732	200.463	4039	125	13.1347	196.215
seq_RNA_0_NC_002505_Rab_I_chrI_1	29750	29944	-	31933	420	39.6281	360.651	26333	261	27.448	292.091	53277	701	51.825	307.239	103622	1026	81.8877	428.851	36597	482	35.5026	245.557	39370	518	40.8751	199.303	879	27	31.5094	1008.74	256	8	41.6894	1063.69	75	2	1.53756	22.9691	0.5	0	0.0178563	0.26372
VCr001_16S_ribosomal_RNA	53823	55357	+	1.12E+08	1479276	17644.2	160578	1.58E+08	1566733	20859.4	221978	1.65E+08	2174211	20327.8	120511	1.88E+08	1864475	18820.1	98561.9	1.62E+08	2128289	19844.3	137255	1.35E+08	1772171	17684.3	86227.1	4.92E+06	153868	22321.7	714602	1.25E+06	38778	25795.9	658170	6.20E+06	191805	16062.4	239951	3.40E+06	105193	15345.7	226642
VCt001_tRNA-Ala	55421	55496	+	1.53E+06	20137	4912.5	44708.1	1.05E+06	10430	2840.22	30224.6	2.11E+06	27800	5316.24	31516.7	765353	7578	1564.48	8193.26	3.14E+06	41281	7872.63	54451.7	2.56E+06	33686	6875.36	33523.6	2146	67	198.986	6370.3	6	0	2.52742	64.486	87	3	4.6135	68.9196	1	0	0.0923764	1.36431
VCr002_23S_ribosomal_RNA	55784	58670	+	2.96E+08	3894921	24693.4	224732	3.43E+08	3392000	24004.5	255447	3.08E+08	4058803	20170.5	119578	3.78E+08	3744950	20092.8	105227	2.88E+08	3784303	18755.1	129721	2.51E+08	3305145	17530.8	85478.6	8.43E+06	263588	20325.1	650686	1.87E+06	57834	20449.3	521753	1.86E+07	576142	25645.3	383108	1.04E+07	322969	25043.2	369864
VCr003_5S_ribosomal_RNA	58798	58915	+	1.85E+07	244064	38167.8	347361	2.69E+07	266753	46564.8	495525	3.04E+07	400554	49101	291089	3.82E+07	378415	50080.9	262277	5.31E+07	698467	85386.8	590584	3.64E+07	478736	62635.2	305403	32850	1027	1952.55	62508.7	2715	84	733.115	18705.1	32574	1008	1107.28	16541.3	17138	531	1014.84	14988.2
VCt002_tRNA-Asp	58941	59017	+	1.59E+06	20935	5040.08	45869.2	2.61E+06	25840	6944.14	73897	2.36E+06	31071	5863.4	34760.5	2.70E+06	26710	5441.98	28500	1.42E+06	18702	3519.76	24344.7	1.64E+06	21523	4334.98	21137	2522	79	230.773	7387.93	31	1	12.8865	328.794	110	3	5.75641	85.9932	0.5	0	0.0455805	0.67318
VCt003_tRNA-Trp	59047	59123	+	61746	812	195.596	1780.1	128417	1271	341.681	3636.04	77619	1021	192.733	1142.59	60922	603	122.894	643.601	69619	916	172.398	1192.4	48901	643	129.598	631.908	150	5	13.7256	439.409	0.5	0	0.207847	5.30312	62	2	3.24452	48.4689	31	1	2.82599	41.7372
ncRNA_6_NC_002505_TPP	59789	59887	+	11662	153	28.6492	260.733	6930	69	14.2994	152.169	15580	205	30.0015	177.86	35489	351	55.5183	290.753	38381	505	73.7067	509.798	31083	409	63.8839	311.492	170	5	12.0636	386.202	34	1	10.9608	279.659	1396	43	56.6542	846.339	831	26	58.7486	867.66
ncRNA_7_NC_002505_RyhB	102554	102619	+	10165	134	37.6495	342.644	86458	856	268.97	2862.28	22077	290	64.0955	379.983	81134	803	191.363	1002.18	651989	8579	1887.75	13056.7	673936	8868	2088.33	10182.5	249	8	26.6403	852.859	0.5	0	0.243021	6.20057	54	2	3.3041	49.3589	55	2	5.86235	86.5813
ncRNA_8_NC_002505_Spot_42	106068	106183	+	63535	836	133.009	1210.5	74747	740	131.434	1398.67	42383	558	69.5497	412.317	194467	1925	259.249	1357.7	247298	3254	404.706	2799.18	117843	1551	206.396	1006.37	318	10	19.2301	615.631	0.5	0	0.13736	3.50467	0.5	0	0.017292	0.258319	0.5	0	0.0301227	0.444884
